wind project name,article title,paragraph ID,code,quoted evidence,opposition or support
nome,"Diana Haecker, 'Council informs Sen. Murkowski of Nome�s needs and wants', Nome Nugget, The (online), 21 Apr 2022 1",Topping the list was...expand water and sewer services.,Infrastructure,NJUS projects to enhance the wind farm and expand water and sewer services.,support
nome,"Diana Haecker, 'Council informs Sen. Murkowski of Nome�s needs and wants', Nome Nugget, The (online), 21 Apr 2022 1","Part of the housing crisis...whopping 900,000 gallons per year.",Sustainability and Climate Issues,"to potentially have 40 percent of electrical energy generated by wind, which would decrease reliance on diesel fuel by a whopping 900,000 gallons per year.",support
nome,"Diana Haecker, 'Council informs Sen. Murkowski of Nome�s needs and wants', Nome Nugget, The (online), 21 Apr 2022 1","Part of the housing crisis...whopping 900,000 gallons per year.",Economy,"high energy costs, exacerbated by the Russian invasion of Ukraine.",opposition
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",Member communities have five...through NSEDC's Community Energy,Economy,NSEDC has added programs to address the region's high energy costs,support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",The program aims to reduce...for nine different projects.,Sustainability and Climate Issues,The program aims to reduce energy costs for Norton Sound residents by encouraging the construction of renewable energy systems,support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",NSEDC's Board of Directors...to utilize the funding.,Infrastructure,NSEDC's Board of Directors recognizes that it takes time to plan and develop energy infrastructure improvement projects,support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million","""The Community Energy Fund...reduce costs for residents.""",Economy,It only makes sense to continue this program so that all our communities have the opportunity to improve their energy infrastructure and reduce costs for residents.,support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",Nome and Unalakleet are...power plant generators.,Sustainability and Climate Issues,"Nome and Unalakleet are the only two communities to have fully utilized their available funding, both putting their entire allocation toward large wind energy systems.",support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",NSEDC encourages municipalities and/or...pivanoff@nsedc.com.,Sustainability and Climate Issues,NSEDC encourages municipalities and/or utility providers in member communities to explore renewable or energy-efficiency projects,support
nome,"Staff, 'Briefs', Anchorage Daily News (online), 5 Feb 2001 B2 �https://infoweb.newsbank.com/apps/news/document-view?",Nome Turbine project gets government's...Nome Joint Utility System's demand.,Sustainability and Climate Issues,The turbines would supply less than 10 percent of Nome Joint Utility System's demand.,neutral
nome,"Diana Haecker, 'Council informs Sen. Murkowski of Nome�s needs and wants', Nome Nugget, The (online), 21 Apr 2022 1",Topping the list was...water and sewer services.,Economy,NJUS projects to enhance the wind farm and expand water and sewer services.,support
nome,"Diana Haecker, 'Council informs Sen. Murkowski of Nome�s needs and wants', Nome Nugget, The (online), 21 Apr 2022 1","Part of the housing crisis...whopping 900,000 gallons per year.",Sustainability and Climate Issues,"to potentially have 40 percent of electrical energy generated by wind, which would decrease reliance on diesel fuel by a whopping 900,000 gallons per year.",support
nome,"Diana Haecker, 'Council informs Sen. Murkowski of Nome�s needs and wants', Nome Nugget, The (online), 21 Apr 2022 1","Part of the housing crisis...whopping 900,000 gallons per year.",Economy,"Part of the housing crisis are also high energy costs, exacerbated by the Russian invasion of Ukraine.",opposition
nome,"Diana Haecker, 'Council informs Sen. Murkowski of Nome�s needs and wants', Nome Nugget, The (online), 21 Apr 2022 1","Part of the housing crisis...whopping 900,000 gallons per year.",Technological Skepticism/ Optimism,"Nome Joint Utilities� Ken Morton presented a plan to expand the Nome Wind Farm, which currently produces seven percent of Nome�s electrical power, to add two more turbines to the Banner Ridge farm, add a battery storage system and/or add four wind turbines in the vicinity of Cape Nome and install a battery system there.",support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",Member communities have five...through NSEDC's Community Energy,Economy,NSEDC has added programs to address the region's high energy costs,support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",The program aims to reduce...for nine different projects.,Sustainability and Climate Issues,The program aims to reduce energy costs for Norton Sound residents by encouraging the construction of renewable energy systems,support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",NSEDC's Board of Directors...to utilize the funding.,Infrastructure,NSEDC's Board of Directors recognizes that it takes time to plan and develop energy infrastructure improvement projects,support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",The Community Energy Fund...reduce costs for residents.,Economy,It only makes sense to continue this program so that all our communities have the opportunity to improve their energy infrastructure and reduce costs for residents,support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",Nome and Unalakleet are...power plant generators.,Sustainability and Climate Issues,"Nome and Unalakleet are the only two communities to have fully utilized their available funding, both putting their entire allocation toward large wind energy systems",support
nome,"Tyler Rhodes, NSEDC, Communications Director, 'Member communities have five more years to utilize their $1 million",NSEDC encourages municipalities and/or...Community Benefits Director Paul,Sustainability and Climate Issues,NSEDC encourages municipalities and/or utility providers in member communities to explore renewable or energy-efficiency projects,support
nome,"Staff, 'Briefs', Anchorage Daily News (online), 5 Feb 2001 B2 �https://infoweb.newsbank.com/apps/news/document-view?",Nome Turbine project gets government's...Nome Joint Utility System's demand.,Sustainability and Climate Issues,The turbines would supply less than 10 percent of Nome Joint Utility System's demand.,neutral
